farm_id,soil_moisture,temperature,humidity,rain_forecast,crop_type,growth_stage,soil_type,land_size,water_demand
1,0.3872700594236812,34.7973433477386,66.7008701246256,0,potato,maturity,sandy,0.673936415037166,178.33875121102793
2,0.675357153204958,27.68276020453557,57.43626716971852,0,cumin,maturity,loam,9.98146203862876,102.9785793482324
3,0.5659969709057024,25.409782222498905,57.30336902086234,1,rapeseed,vegetative,clay,6.991767862239642,197.766325195431
4,0.49932924209851826,32.050632842053794,79.72175165742816,0,cabbage,maturity,silt,4.544411463462102,127.24648344436152
5,0.27800932022121827,29.50986502648344,72.70339420935612,1,chickpeas,maturity,loam,3.2403293782968516,126.4715060342319
6,0.27799726016810133,26.007528439595763,75.10818074873151,0,rapeseed,grain_filling,silt,0.5420321656920748,199.7499367244732
7,0.22904180608409974,32.075228189780425,67.15948056032038,1,millets,maturity,sandy,1.9626143907870328,132.32625536886616
8,0.6330880728874675,25.31174909111921,76.13042862181248,0,onion,maturity,silt,0.5557776813976725,172.75175309023584
9,0.5005575058716043,33.70196690492242,69.36471617499059,0,rice,harvest,loam,6.17705208685533,302.68746866339177
10,0.5540362888980227,26.386525291133037,78.38521114389036,1,maize,harvest,sandy,6.801761079699801,162.7859238935362
11,0.21029224714790123,26.27311878746725,58.44015758136911,0,groundnut,seeding,loam,7.784563352754917,127.80335333510821
12,0.6849549260809971,26.756722979685847,67.85958637348685,0,sunflower,flowering,sandy,2.276493877542938,230.41369535178748
13,0.6162213204002108,34.60266358492066,70.70394043810677,0,turmeric,seeding,clay,1.4117232666811848,219.37782389255332
14,0.3061695553391381,31.93169360253846,61.7881191508342,1,sweet potato,seeding,silt,6.679361479199247,154.64048258443697
15,0.2909124836035503,33.01371535463637,76.3912394721216,0,cotton,vegetative,silt,5.248994130926933,177.0125807884182
16,0.2917022549267169,28.97634985732753,79.39409489312463,1,sunflower,flowering,clay,8.8190160507041,183.07129505586107
17,0.3521211214797688,28.363127275049557,64.81308474117985,0,sweet potato,vegetative,clay,5.566027224127627,175.65019065181298
18,0.4623782158161189,27.3448400678317,61.71921964413017,0,banana,maturity,silt,4.725801588120651,329.55338162936937
19,0.4159725093210579,29.80648028312409,64.15813785669376,1,cauliflower,harvest,clay,5.136264145894664,107.3035677535416
20,0.34561457009902097,30.518287335341686,75.58210237195794,1,millets,maturity,sandy,7.932056324209107,130.2199905265228
21,0.5059264473611897,31.317748436527552,69.36405276554503,1,mustard,vegetative,silt,0.6738993913756424,127.76419925261241
22,0.26974693032602093,27.571185039986943,51.34317117554285,1,pearl millet,harvest,loam,9.223008713282601,190.61494403119713
23,0.34607232426760903,34.486540809029904,66.26509731337144,1,rice,seeding,clay,7.2847959035487815,270.0503828048602
24,0.3831809216468458,26.69758498207136,50.5190036822291,1,turmeric,maturity,sandy,8.910252533333328,192.14510611211193
25,0.4280349921085179,34.656531747664125,73.35606113010216,0,beans,vegetative,silt,9.616190447208718,145.3296108322607
26,0.5925879806965068,25.14856122507504,59.84936820627391,0,pearl millet,maturity,silt,2.647035034392727,167.31673887799258
27,0.2998368910791799,29.811256918168457,64.16022446351988,0,pulses,flowering,sandy,5.994237535175618,122.13473938366985
28,0.45711721920680576,28.333678381165626,73.96034317722896,0,sweet potato,vegetative,clay,5.117415397589669,179.00221193643844
29,0.4962072844310212,29.491234139302506,51.39346451857285,1,mustard,harvest,silt,5.607381508440487,124.00631032878383
30,0.22322520635999887,30.70664578980789,54.756246067748314,0,rice,grain_filling,clay,0.9492472314165072,427.53504486704213
31,0.5037724259507191,29.35589158012709,61.938811293353446,0,brinjal,maturity,sandy,9.18286489681441,101.05064205692506
32,0.2852620618436458,29.14846850301595,56.89775490636681,0,potato,maturity,loam,9.569499733896043,161.58798206579482
33,0.23252579649263977,32.327234154133066,60.13704277325189,1,banana,flowering,sandy,7.008680961244653,355.8504071688973
34,0.6744427686266665,31.858762750864646,79.94524213677394,1,pearl millet,harvest,clay,2.9536375773355052,162.28094334965957
35,0.6828160165372796,33.33271282035848,74.76243312721432,0,sugarcane,maturity,silt,7.978461060798089,274.05636306991505
36,0.6041986740582306,27.499589812394955,76.51705444880326,1,beans,grain_filling,clay,7.443041593595433,151.59484365024804
37,0.35230688458668535,31.095285097540636,78.11163900697326,0,fennel,maturity,clay,5.958607822824701,107.82431471933997
38,0.24883605700319195,30.85194785392854,60.22807640942587,1,pulses,flowering,loam,2.117275217969719,146.86720230126568
39,0.5421165132560783,28.697378108726888,58.91230873389418,0,banana,grain_filling,silt,2.4111995705995866,468.27072571896065
40,0.4200762468698006,29.86057541902681,57.021874777162246,1,mustard,seeding,loam,6.0993468807192395,108.15940940487353
41,0.2610191174223894,28.137821433057287,74.90350733924367,0,mustard,seeding,loam,1.7238355465427067,98.78579465850612
42,0.44758845505563505,26.41844397616985,70.38655586855555,0,tomato,maturity,sandy,7.377331637146306,125.83316108051217
43,0.2171942605576092,27.13801210662733,57.08515947448632,1,beans,vegetative,sandy,2.519700790038315,103.47825029434505
44,0.6546602010393909,26.055136464012012,61.309814876313645,1,onion,vegetative,silt,9.14955821773969,198.6037114623418
45,0.3293899908000084,31.830695751901242,65.20135291798395,1,groundnut,vegetative,loam,9.047388766679303,106.62334086689785
46,0.5312611421769909,31.607273931091516,65.84420171821262,1,barley,vegetative,loam,3.2892366979822922,160.0945426750039
47,0.3558555380447055,34.50606371579873,76.66183185655144,0,cotton,maturity,clay,1.2921750370602516,173.5228472792291
48,0.46003401058890536,32.29678413647241,61.41698398841649,0,chickpeas,grain_filling,clay,6.308450140031983,190.67137892889048
49,0.4733551396716398,25.520458387561316,77.25572091501537,0,carrot,flowering,sandy,4.759937502552442,130.72422979273034
50,0.29242722776276353,33.842451739289544,63.24102680959369,0,maize,flowering,loam,1.8652345348374686,227.9734189113986
51,0.6847923138822792,33.62675162945726,72.3911802437706,0,beans,vegetative,silt,5.549073997801268,149.46585291016447
52,0.5875664116805572,29.433203207726987,77.90762959955168,0,sunflower,seeding,loam,9.93088030746473,162.09214317764486
53,0.6697494707820946,30.858630505279216,77.22727111889799,0,cumin,harvest,sandy,1.15533769387411,130.72916368308415
54,0.6474136752138244,34.76078332472519,51.708586018870434,0,sweet potato,vegetative,silt,3.0070061648264366,198.70646837283832
55,0.4989499894055425,30.323043638481664,56.1711288492971,1,cauliflower,vegetative,loam,5.616835707822634,125.30490952596703
56,0.6609371175115584,34.0532182837609,64.30716276596826,0,millets,maturity,clay,8.036932184307545,90.1152335040438
57,0.24424625102595976,25.830387578101863,62.946628698593216,1,sesame,seeding,loam,0.6782306399277414,91.39408395606259
58,0.2979914312095726,26.910518687086828,69.22674994511621,1,peas,harvest,sandy,7.461220065079262,134.06990667456512
59,0.22261364445526904,29.407549434413177,78.34127152476236,1,sesame,grain_filling,sandy,1.828893658144417,143.74822985124192
60,0.3626651653816322,30.847568083373048,53.372141338338466,1,sugarcane,grain_filling,loam,8.391455031620922,514.4049913017768
61,0.394338644844741,33.162278518628,63.55575995402721,0,maize,harvest,sandy,7.075672331131197,205.13722562539735
62,0.33567451588694797,34.88262115143187,55.77233113661418,1,anise,harvest,clay,4.836857900910507,133.36750563839126
63,0.6143687545759646,28.888514964741162,76.82322795193842,0,pulses,grain_filling,clay,8.305041108793244,135.44353240272142
64,0.37837666334679465,25.474156361400848,78.93740557404959,0,pearl millet,vegetative,clay,7.4639625014701805,188.00218411633597
65,0.34046725484369034,33.01171503295325,64.3610504567105,1,sunflower,vegetative,loam,7.712248009786378,196.0084007482439
66,0.4713480415791242,31.043807190828083,53.12030893184422,0,pearl millet,maturity,sandy,3.2557005100027467,146.50854914978092
67,0.27046211248738133,26.985428588682016,73.5588400016802,0,rice,seeding,clay,6.384479094873879,231.3602202544303
68,0.6010984903770198,29.948284566214202,70.91424051477196,1,potato,harvest,silt,1.8405074997274222,187.1909077788468
69,0.23727532183988542,32.423102455337244,60.640124798309316,1,sesame,vegetative,sandy,8.2981772441324,112.42203313385978
70,0.6934434683002586,32.70411787068644,76.6222242190689,0,pulses,vegetative,sandy,5.5040501493452245,127.11222819531169
71,0.5861223846483287,29.99618411998762,79.27495669348122,0,rice,seeding,silt,8.336394660098446,269.09282290649463
72,0.2993578407670862,28.05214530128859,66.73561547390587,0,cabbage,harvest,sandy,2.505990373227406,143.9636980458544
73,0.2027610585618012,34.737425820384935,66.97183734032876,0,turmeric,seeding,clay,1.7382443759336113,211.08291672473692
74,0.6077307142274171,31.63362610956493,58.92540515341334,1,sugarcane,seeding,sandy,7.04520330923028,358.67668159884926
75,0.5534286719238085,29.082375193462987,67.53518107949942,1,cardamom,grain_filling,clay,1.0547765027017348,283.99792287734954
76,0.5645035840204936,27.804632242046523,63.189269615745395,1,tomato,seeding,clay,2.8178664827287143,117.6849429862856
77,0.5856351733429728,32.31102983003562,59.06573080784156,1,sweet potato,harvest,clay,9.132779649953907,154.74681963543665
78,0.2370223258670452,27.421834455937677,52.01555589571704,0,carrot,vegetative,loam,1.7612007024574339,109.88188725116932
79,0.3792328642721363,26.717099889736883,57.58123579127375,1,pulses,vegetative,sandy,4.067780946790258,117.31056636797472
80,0.25793452976256487,30.2983388896207,55.93563949032993,0,turmeric,grain_filling,silt,9.483037524920059,315.1553369472522
81,0.6315517129377968,27.89987392644142,66.26125953661847,0,coriander,harvest,loam,0.6900305511835432,135.34387543704202
82,0.5116490634137789,31.28905144923615,68.05010065290782,1,cumin,vegetative,loam,4.7304935777792805,122.92244606319898
83,0.36544901242632455,26.179386748742335,68.25715172918049,0,potato,seeding,loam,7.9713626053223585,137.20721140169738
84,0.23177917514301183,31.549411045673217,61.645430031370374,0,rapeseed,flowering,loam,9.13531385141371,225.34472271800377
85,0.35549116085783106,27.83296527997702,62.63689201056488,0,pulses,flowering,clay,7.487980711093293,151.967809784445
86,0.3625916610133735,25.002429344345128,75.0271528892192,1,carrot,flowering,clay,8.939721464677904,176.36450754972415
87,0.564803089169032,26.269360576741764,64.28698440551487,0,soybean,flowering,silt,0.8264982078530908,218.11440386993885
88,0.5187787356776066,34.33615377835094,79.63319996411367,0,rice,seeding,sandy,1.4488237033659286,252.08079354040493
89,0.6436063712881632,33.67354639115358,63.188516900265945,0,sweet potato,vegetative,silt,7.508402508223665,164.72144309301913
90,0.43610746258097466,27.336090320362366,69.48742833853517,0,carrot,grain_filling,sandy,7.656618396369086,145.36992558723028
91,0.25979712296915086,32.783719045454916,51.51088996980187,1,maize,seeding,clay,6.250078724415238,155.70304030107278
92,0.5566223936114975,31.085715931739742,69.60019773256433,1,cumin,vegetative,sandy,7.437626777720549,120.35614130849937
93,0.5803925243084487,34.709047114498695,75.54279183245018,0,peas,harvest,sandy,8.651504643320807,108.56857084039507
94,0.4806385987847481,28.736056595340592,78.27373515599888,0,sugarcane,vegetative,loam,5.682083846338901,468.8419610466519
95,0.5854835899772804,31.814606125171714,79.91961834919312,0,onion,vegetative,silt,9.499581434515997,190.25986998156333
96,0.4468977981821953,25.635357224239186,58.46535936947699,1,sesame,vegetative,loam,7.0952576801154015,136.44238219158524
97,0.461366414690997,28.96247346816406,67.2611019447715,1,anise,seeding,loam,4.983829809802125,92.19378459829807
98,0.4137705091792748,34.6381766118818,63.52153956596442,0,cauliflower,vegetative,loam,4.504422175372394,103.59529352532654
99,0.2127095633720476,30.389808744501206,66.91452441725514,0,tobacco,vegetative,loam,7.626584557833519,263.64252822263626
100,0.25394571349665224,27.878795033348446,54.7235887156954,1,onion,harvest,clay,6.489457567483589,187.44841386155707
101,0.21571459284336714,26.20270963128607,75.68448717787825,0,carrot,harvest,silt,8.26571200016717,101.3357970432737
102,0.5182052056318902,32.035283401815306,77.28706830033762,1,cauliflower,flowering,loam,7.9193694950987155,137.43001318490806
103,0.35717799053816335,31.448560434297267,63.48984989338768,0,rice,maturity,silt,5.479925609677696,198.39823053039018
104,0.45428534558235134,28.739387136037745,58.41289584720731,0,brinjal,seeding,loam,9.484167007802125,110.81510858227594
105,0.6537832369630465,34.50941351865834,54.225002829590366,0,millets,vegetative,clay,7.190444038341265,125.91885016028485
106,0.3246461145744375,25.222028129878503,70.51294474333413,0,sugarcane,flowering,loam,2.407976083350751,386.2187285370707
107,0.4051914615178148,28.037238516318258,59.36695518862206,1,millets,flowering,sandy,6.375628149167421,133.79004786957228
108,0.5777755692715243,34.210694862995815,77.28615709740166,1,sunflower,seeding,clay,2.4172240308220196,160.42087776869266
109,0.31439908274581124,28.209354383194402,70.1303742453461,1,cumin,maturity,silt,5.809068304396597,112.86490833489707
110,0.2384899549143965,27.522528338551705,69.37055975522722,0,tobacco,flowering,sandy,8.004377296790924,342.9109218142779
